episode 196 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 43.6
episode 197 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 43.7
episode 198 of 1000 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 43.0
episode 199 of 1000 complete,  explore val = 0.01, episode reward = 57.0, ave reward = 43.2
episode 200 of 1000 complete,  explore val = 0.01, episode reward = 24.0, ave reward = 43.4
episode 201 of 1000 complete,  explore val = 0.01, episode reward = 412.0, ave reward = 47.1
episode 202 of 1000 complete,  explore val = 0.01, episode reward = 59.0, ave reward = 47.5
episode 203 of 1000 complete,  explore val = 0.01, episode reward = 17.0, ave reward = 47.1
episode 204 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 47.1
episode 205 of 1000 complete,  explore val = 0.01, episode reward = 58.0, ave reward = 47.6
episode 206 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 47.6
episode 207 of 1000 complete,  explore val = 0.01, episode reward = 35.0, ave reward = 47.8
episode 208 of 1000 complete,  explore val = 0.01, episode reward = 66.0, ave reward = 47.5
episode 209 of 1000 complete,  explore val = 0.01, episode reward = 36.0, ave reward = 47.2
episode 210 of 1000 complete,  explore val = 0.01, episode reward = 29.0, ave reward = 46.8
episode 211 of 1000 complete,  explore val = 0.01, episode reward = 23.0, ave reward = 46.7
episode 212 of 1000 complete,  explore val = 0.01, episode reward = 69.0, ave reward = 47.2
episode 213 of 1000 complete,  explore val = 0.01, episode reward = 104.0, ave reward = 48.0
episode 214 of 1000 complete,  explore val = 0.01, episode reward = 53.0, ave reward = 48.3
episode 215 of 1000 complete,  explore val = 0.01, episode reward = 204.0, ave reward = 50.2
episode 216 of 1000 complete,  explore val = 0.01, episode reward = 76.0, ave reward = 50.2
episode 217 of 1000 complete,  explore val = 0.01, episode reward = 48.0, ave reward = 50.5
episode 218 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 50.7
episode 219 of 1000 complete,  explore val = 0.01, episode reward = 20.0, ave reward = 50.7
episode 220 of 1000 complete,  explore val = 0.01, episode reward = 27.0, ave reward = 50.5
episode 221 of 1000 complete,  explore val = 0.01, episode reward = 72.0, ave reward = 50.5
episode 222 of 1000 complete,  explore val = 0.01, episode reward = 63.0, ave reward = 50.4
episode 223 of 1000 complete,  explore val = 0.01, episode reward = 31.0, ave reward = 50.5
episode 224 of 1000 complete,  explore val = 0.01, episode reward = 33.0, ave reward = 50.6
episode 225 of 1000 complete,  explore val = 0.01, episode reward = 97.0, ave reward = 51.1
episode 226 of 1000 complete,  explore val = 0.01, episode reward = 202.0, ave reward = 52.5
episode 227 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 52.8
episode 228 of 1000 complete,  explore val = 0.01, episode reward = 39.0, ave reward = 52.7
episode 229 of 1000 complete,  explore val = 0.01, episode reward = 37.0, ave reward = 52.3
episode 230 of 1000 complete,  explore val = 0.01, episode reward = 41.0, ave reward = 51.8
episode 231 of 1000 complete,  explore val = 0.01, episode reward = 179.0, ave reward = 53.3
episode 232 of 1000 complete,  explore val = 0.01, episode reward = 38.0, ave reward = 53.5
episode 233 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 53.7
episode 234 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 54.0
episode 235 of 1000 complete,  explore val = 0.01, episode reward = 43.0, ave reward = 54.1
episode 236 of 1000 complete,  explore val = 0.01, episode reward = 74.0, ave reward = 54.4
episode 237 of 1000 complete,  explore val = 0.01, episode reward = 54.0, ave reward = 54.8
